Postgraduate Master in High Performance Computing;2015 - 2016;SISSA, Trieste;thesis: "Increasing speedup of naval hull workflow optimization using Reduced Order Method" with the supervision of L. Heltai;
B. Sc. in Computer Science, magna cum laude;2012 - 2015;University of Ferrara;thesis: "Parallelizzazione e vettorizzazione di un algoritmo Lattice Boltzmann mediante direttive di compilazione" with the supervision of F. S. Schifano;
Scientific diploma;2007 - 2012;Liceo Ariosto, Ferrara;
